test_month,P_min_pct,S_min_pct,policy,fit_method,fit_months,fit_status,n_links,test_oracle_n_links,budget_minus_test_oracle,subset_jaccard_with_test_oracle,subset_hash,selected_links,is_initial_observation_cold_start,is_before_frozen_policy_available
2024-11,98,90,expanding_window,proposed,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10,Feasible,13,11,2,0.6,b895b38864b202d9,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,previous_month,multicover,2024-10,Feasible,11,11,0,0.8333333333333334,0493c480da31771a,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-11,98,90,expanding_window,multicover,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10,Feasible,13,11,2,0.6,b895b38864b202d9,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,previous_month,coverage_only,2024-10,Feasible,11,11,0,0.8333333333333334,0493c480da31771a,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-11,98,90,expanding_window,coverage_only,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10,Feasible,13,11,2,0.6,b895b38864b202d9,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,previous_month,exact,2024-10,Optimal,11,11,0,0.8333333333333334,116bbfc59e6bf3dd,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA;sensor09→gatewayB,False,False
2024-11,98,90,expanding_window,exact,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10,Optimal,13,11,2,0.6,b895b38864b202d9,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,frozen_initial_window,proposed,2024-02;2024-03;2024-04,Feasible,14,11,3,0.6666666666666666,41373d6960c195b8,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,frozen_initial_window,multicover,2024-02;2024-03;2024-04,Feasible,14,11,3,0.6666666666666666,41373d6960c195b8,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,frozen_initial_window,coverage_only,2024-02;2024-03;2024-04,Feasible,14,11,3,0.6666666666666666,41373d6960c195b8,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-11,98,90,retrospective_oracle,exact,2024-11,Optimal,11,11,0,1.0,49b672db7308a770,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-12,90,80,previous_month,proposed,2024-11,Feasible,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,expanding_window,proposed,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,9,9,0,0.6363636363636364,a3ace494bf9be893,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,previous_month,multicover,2024-11,Feasible,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,expanding_window,multicover,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,9,9,0,0.6363636363636364,a3ace494bf9be893,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,previous_month,coverage_only,2024-11,Feasible,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,expanding_window,coverage_only,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,9,9,0,0.6363636363636364,a3ace494bf9be893,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,previous_month,exact,2024-11,Optimal,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,expanding_window,exact,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Optimal,9,9,0,0.6363636363636364,a3ace494bf9be893,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,frozen_initial_window,proposed,2024-02;2024-03;2024-04,Feasible,9,9,0,0.5,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,frozen_initial_window,multicover,2024-02;2024-03;2024-04,Feasible,9,9,0,0.5,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,frozen_initial_window,coverage_only,2024-02;2024-03;2024-04,Feasible,9,9,0,0.5,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,90,80,retrospective_oracle,exact,2024-12,Optimal,9,9,0,1.0,6d0e4a795f1bf86d,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,previous_month,proposed,2024-11,Feasible,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,expanding_window,proposed,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,10,9,1,0.5833333333333334,947350bea811764a,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,previous_month,multicover,2024-11,Feasible,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,expanding_window,multicover,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,10,9,1,0.5833333333333334,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,previous_month,coverage_only,2024-11,Feasible,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,expanding_window,coverage_only,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,10,9,1,0.5833333333333334,947350bea811764a,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,previous_month,exact,2024-11,Optimal,9,9,0,0.8,47454e12767c9b83,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,expanding_window,exact,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Optimal,10,9,1,0.5833333333333334,947350bea811764a,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,frozen_initial_window,proposed,2024-02;2024-03;2024-04,Feasible,10,9,1,0.5833333333333334,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,frozen_initial_window,multicover,2024-02;2024-03;2024-04,Feasible,10,9,1,0.5833333333333334,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,frozen_initial_window,coverage_only,2024-02;2024-03;2024-04,Feasible,10,9,1,0.5833333333333334,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,95,85,retrospective_oracle,exact,2024-12,Optimal,9,9,0,1.0,6d0e4a795f1bf86d,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,False,False
2024-12,98,90,previous_month,proposed,2024-11,Feasible,11,10,1,0.75,49b672db7308a770,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-12,98,90,expanding_window,proposed,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,13,10,3,0.5333333333333333,b895b38864b202d9,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-12,98,90,previous_month,multicover,2024-11,Feasible,11,10,1,0.75,49b672db7308a770,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
2024-12,98,90,expanding_window,multicover,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11,Feasible,13,10,3,0.5333333333333333,b895b38864b202d9,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,False
